secid,symbol,date,exdate,cp_flag,strike_price,impl_volatility,mid_price,under_price
108105.0,SPT.VP,2008-09-19,2008-10-18,P,1180000.0,0.358636,18.65,1255.08
108105.0,SPT.VP,2008-09-22,2008-10-18,P,1180000.0,0.351023,30.2,1207.09
108105.0,SPT.VQ,2008-09-16,2008-10-18,P,1185000.0,0.30368,28.55,1213.6
108105.0,SPT.VQ,2008-09-18,2008-10-18,P,1185000.0,0.339296,34.3,1206.51
108105.0,SPT.VQ,2008-09-19,2008-10-18,P,1185000.0,0.34892,19.0,1255.08
108105.0,SPT.VQ,2008-09-22,2008-10-18,P,1185000.0,0.349239,32.1,1207.09
108105.0,SPT.VR,2008-09-16,2008-10-18,P,1190000.0,0.302007,30.4,1213.6
108105.0,SPT.VR,2008-09-18,2008-10-18,P,1190000.0,0.343666,37.1,1206.51
108105.0,SPT.VR,2008-09-19,2008-10-18,P,1190000.0,0.345708,20.1,1255.08
108105.0,SPT.VR,2008-09-22,2008-10-18,P,1190000.0,0.345071,33.8,1207.09
108105.0,SPT.VS,2008-09-16,2008-10-18,P,1195000.0,0.298934,32.15,1213.6
108105.0,SPT.VS,2008-09-18,2008-10-18,P,1195000.0,0.333595,38.1,1206.51
108105.0,SPT.VS,2008-09-19,2008-10-18,P,1195000.0,0.342858,21.3,1255.08
108105.0,SPT.VS,2008-09-22,2008-10-18,P,1195000.0,0.343504,35.9,1207.09
108105.0,SPT.VT,2008-09-16,2008-10-18,P,1100000.0,0.349997,9.9,1213.6
108105.0,SPT.VT,2008-09-17,2008-10-18,P,1100000.0,0.375716,24.3,1156.39
108105.0,SPT.VT,2008-09-18,2008-10-18,P,1100000.0,0.4004,14.2,1206.51
108105.0,SPT.VT,2008-09-19,2008-10-18,P,1100000.0,0.408927,7.4,1255.08
108105.0,SPT.VT,2008-09-22,2008-10-18,P,1100000.0,0.396239,11.25,1207.09
108105.0,SPT.WA,2008-09-24,2008-11-22,P,1105000.0,0.340547,28.25,1185.87
108105.0,SPT.WA,2008-09-25,2008-11-22,P,1105000.0,0.334109,21.2,1209.18
108105.0,SPT.WA,2008-09-26,2008-11-22,P,1105000.0,0.348967,22.0,1213.27
108105.0,SPT.WA,2008-09-29,2008-11-22,P,1105000.0,0.350692,56.4,1106.42
108105.0,SPT.WA,2008-09-30,2008-11-22,P,1105000.0,0.368249,35.4,1166.36
108105.0,SPT.WB,2008-09-24,2008-11-22,P,1110000.0,0.338302,29.5,1185.87
108105.0,SPT.WB,2008-09-25,2008-11-22,P,1110000.0,0.331161,22.1,1209.18
108105.0,SPT.WB,2008-09-26,2008-11-22,P,1110000.0,0.346674,23.0,1213.27
108105.0,SPT.WB,2008-09-30,2008-11-22,P,1110000.0,0.366609,37.0,1166.36
108105.0,SPT.WC,2008-09-24,2008-11-22,P,1115000.0,0.336386,30.85,1185.87
108105.0,SPT.WC,2008-09-25,2008-11-22,P,1115000.0,0.328645,23.1,1209.18
108105.0,SPT.WC,2008-09-26,2008-11-22,P,1115000.0,0.345486,24.2,1213.27
108105.0,SPT.WC,2008-09-30,2008-11-22,P,1115000.0,0.363996,38.5,1166.36
108105.0,SPT.WD,2008-09-24,2008-11-22,P,1120000.0,0.334161,32.2,1185.87
108105.0,SPT.WD,2008-09-25,2008-11-22,P,1120000.0,0.326524,24.2,1209.18
108105.0,SPT.WD,2008-09-26,2008-11-22,P,1120000.0,0.343299,25.3,1213.27
108105.0,SPT.WD,2008-09-30,2008-11-22,P,1120000.0,0.361682,40.1,1166.36
108105.0,SPT.WE,2008-09-24,2008-11-22,P,1125000.0,0.331332,33.5,1185.87
108105.0,SPT.WE,2008-09-25,2008-11-22,P,1125000.0,0.324763,25.4,1209.18
108105.0,SPT.WE,2008-09-26,2008-11-22,P,1125000.0,0.340828,26.4,1213.27
108105.0,SPT.WE,2008-09-30,2008-11-22,P,1125000.0,0.350741,40.35,1166.36
108105.0,SPT.WF,2008-09-24,2008-11-22,P,1130000.0,0.329406,35.0,1185.87
108105.0,SPT.WF,2008-09-25,2008-11-22,P,1130000.0,0.32269,26.6,1209.18
108105.0,SPT.WF,2008-09-26,2008-11-22,P,1130000.0,0.338729,27.6,1213.27
108105.0,SPT.WF,2008-09-30,2008-11-22,P,1130000.0,0.355449,43.2,1166.36
108105.0,SPT.WG,2008-09-24,2008-11-22,P,1135000.0,0.326868,36.45,1185.87
108105.0,SPT.WG,2008-09-25,2008-11-22,P,1135000.0,0.320943,27.9,1209.18
108105.0,SPT.WG,2008-09-26,2008-11-22,P,1135000.0,0.336973,28.9,1213.27
108105.0,SPT.WG,2008-09-30,2008-11-22,P,1135000.0,0.35275,44.9,1166.36
108105.0,SPT.WH,2008-09-24,2008-11-22,P,1140000.0,0.324605,38.0,1185.87
108105.0,SPT.WH,2008-09-25,2008-11-22,P,1140000.0,0.317639,29.0,1209.18
108105.0,SPT.WH,2008-09-26,2008-11-22,P,1140000.0,0.334283,30.1,1213.27
108105.0,SPT.WH,2008-09-30,2008-11-22,P,1140000.0,0.349712,46.6,1166.36
108105.0,SPT.WI,2008-09-24,2008-11-22,P,1145000.0,0.322312,39.6,1185.87
108105.0,SPT.WI,2008-09-25,2008-11-22,P,1145000.0,0.317111,30.6,1209.18
108105.0,SPT.WI,2008-09-26,2008-11-22,P,1145000.0,0.332543,31.5,1213.27
108105.0,SPT.WI,2008-09-30,2008-11-22,P,1145000.0,0.347517,48.5,1166.36
108105.0,SPT.WJ,2008-09-24,2008-11-22,P,1150000.0,0.319698,41.2,1185.87
108105.0,SPT.WJ,2008-09-25,2008-11-22,P,1150000.0,0.313223,31.7,1209.18
108105.0,SPT.WJ,2008-09-26,2008-11-22,P,1150000.0,0.330488,32.9,1213.27
108105.0,SPT.WJ,2008-09-30,2008-11-22,P,1150000.0,0.350545,51.35,1166.36
108105.0,SPT.WL,2008-09-24,2008-11-22,P,1160000.0,0.315739,44.8,1185.87
108105.0,SPT.WL,2008-09-25,2008-11-22,P,1160000.0,0.310474,34.9,1209.18
108105.0,SPT.WL,2008-09-26,2008-11-22,P,1160000.0,0.326049,35.8,1213.27
108105.0,SPT.WL,2008-09-30,2008-11-22,P,1160000.0,0.341109,54.6,1166.36
108105.0,SPT.WM,2008-09-24,2008-11-22,P,1165000.0,0.313254,46.6,1185.87
108105.0,SPT.WM,2008-09-25,2008-11-22,P,1165000.0,0.306866,36.2,1209.18
108105.0,SPT.WM,2008-09-26,2008-11-22,P,1165000.0,0.323658,37.3,1213.27
108105.0,SPT.WM,2008-09-30,2008-11-22,P,1165000.0,0.341812,57.25,1166.36
108105.0,SPT.WN,2008-09-24,2008-11-22,P,1170000.0,0.310981,48.5,1185.87
108105.0,SPT.WN,2008-09-25,2008-11-22,P,1170000.0,0.305797,38.0,1209.18
