,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
75,108105.0,2017-06-26,SPX 170818C2050000,1,2017-08-18,2017-06-16,C,2050000.0,385.9,391.6,0.0,12.0,0.241512,0.971497,0.000271,55.41922,-29.21823,115666520.0,1.0,0,,
76,108105.0,2017-06-26,SPX 170818C2055000,1,2017-08-18,,C,2055000.0,381.0,386.6,0.0,0.0,0.239359,0.97087,0.000279,56.53684,-29.81014,116206400.0,1.0,0,,
77,108105.0,2017-06-26,SPX 170818C2060000,1,2017-08-18,,C,2060000.0,376.1,381.9,0.0,0.0,0.239741,0.968987,0.000295,59.86213,-32.77021,115843565.0,1.0,0,,
78,108105.0,2017-06-26,SPX 170818C2065000,1,2017-08-18,,C,2065000.0,370.8,376.5,0.0,0.0,0.230606,0.971733,0.000281,54.99662,-26.94583,116206401.0,1.0,0,,
79,108105.0,2017-06-26,SPX 170818C2070000,1,2017-08-18,,C,2070000.0,366.2,372.0,0.0,0.0,0.235251,0.967667,0.000312,62.16296,-33.87091,115843566.0,1.0,0,,
80,108105.0,2017-06-26,SPX 170818C2075000,1,2017-08-18,2017-06-13,C,2075000.0,361.0,366.6,0.0,1.0,0.227218,0.969977,0.000302,58.11986,-28.93182,115666521.0,1.0,0,,
81,108105.0,2017-06-26,SPX 170818C2080000,1,2017-08-18,2017-06-21,C,2080000.0,356.0,361.7,0.0,2.0,0.225044,0.9693,0.000311,59.31381,-29.50393,115843567.0,1.0,0,,
82,108105.0,2017-06-26,SPX 170818C2085000,1,2017-08-18,,C,2085000.0,351.4,357.2,0.0,0.0,0.229153,0.965175,0.000342,66.44337,-36.20583,116206402.0,1.0,0,,
83,108105.0,2017-06-26,SPX 170818C2090000,1,2017-08-18,2017-06-15,C,2090000.0,346.1,351.8,0.0,15.0,0.220643,0.967906,0.00033,61.74898,-30.6188,115843568.0,1.0,0,,
84,108105.0,2017-06-26,SPX 170818C2095000,1,2017-08-18,2017-06-16,C,2095000.0,341.2,346.9,0.0,5.0,0.219204,0.966744,0.000343,63.75767,-31.93052,116206403.0,1.0,0,,
85,108105.0,2017-06-26,SPX 170818C2100000,1,2017-08-18,2017-06-06,C,2100000.0,336.3,341.9,0.0,41.0,0.216944,0.966011,0.000354,65.01707,-32.4569,115666522.0,1.0,0,,
86,108105.0,2017-06-26,SPX 170818C2105000,1,2017-08-18,,C,2105000.0,331.7,337.3,0.0,0.0,0.219751,0.962206,0.000384,71.43925,-38.1594,116206404.0,1.0,0,,
87,108105.0,2017-06-26,SPX 170818C2110000,1,2017-08-18,,C,2110000.0,326.8,332.5,0.0,0.0,0.218726,0.960573,0.0004,74.14164,-40.0606,115843569.0,1.0,0,,
88,108105.0,2017-06-26,SPX 170818C2115000,1,2017-08-18,,C,2115000.0,321.8,327.3,0.0,0.0,0.214285,0.96106,0.000404,73.33811,-38.35983,116206405.0,1.0,0,,
89,108105.0,2017-06-26,SPX 170818C2120000,1,2017-08-18,2017-06-06,C,2120000.0,316.6,322.2,0.0,0.0,0.209152,0.962018,0.000405,71.75189,-35.92766,115843570.0,1.0,0,,
90,108105.0,2017-06-26,SPX 170818C2125000,1,2017-08-18,,C,2125000.0,312.0,317.5,0.0,0.0,0.21077,0.958545,0.000434,77.455,-40.65912,115666523.0,1.0,0,,
91,108105.0,2017-06-26,SPX 170818C2130000,1,2017-08-18,,C,2130000.0,307.1,312.8,0.0,0.0,0.210194,0.956394,0.000454,80.92156,-43.14985,115843571.0,1.0,0,,
92,108105.0,2017-06-26,SPX 170818C2135000,1,2017-08-18,,C,2135000.0,301.9,307.4,0.0,0.0,0.203311,0.958598,0.000449,77.37008,-38.70002,116206406.0,1.0,0,,
93,108105.0,2017-06-26,SPX 170818C2140000,1,2017-08-18,2017-06-26,C,2140000.0,297.2,302.8,2.0,0.0,0.204583,0.955046,0.000479,83.06936,-43.24381,115843572.0,1.0,0,,
94,108105.0,2017-06-26,SPX 170818C2145000,1,2017-08-18,,C,2145000.0,292.3,297.9,0.0,0.0,0.202657,0.953687,0.000496,85.21517,-44.28929,116206407.0,1.0,0,,
95,108105.0,2017-06-26,SPX 170818C2150000,1,2017-08-18,2017-06-05,C,2150000.0,287.5,293.0,0.0,31.0,0.201264,0.951865,0.000516,88.06258,-45.97012,115666524.0,1.0,0,,
96,108105.0,2017-06-26,SPX 170818C2155000,1,2017-08-18,2017-06-26,C,2155000.0,282.5,288.0,2.0,0.0,0.198134,0.951329,0.000529,88.89405,-45.65201,116206408.0,1.0,0,,
97,108105.0,2017-06-26,SPX 170818C2160000,1,2017-08-18,2017-05-17,C,2160000.0,277.7,283.3,0.0,2.0,0.19774,0.948577,0.000556,93.12295,-48.56104,115843573.0,1.0,0,,
98,108105.0,2017-06-26,SPX 170818C2165000,1,2017-08-18,,C,2165000.0,272.8,278.4,0.0,0.0,0.195643,0.947106,0.000575,95.35449,-49.4903,116206409.0,1.0,0,,
99,108105.0,2017-06-26,SPX 170818C2170000,1,2017-08-18,2017-05-18,C,2170000.0,267.9,273.4,0.0,3.0,0.193,0.946041,0.000593,96.95879,-49.76994,115843574.0,1.0,0,,
100,108105.0,2017-06-26,SPX 170818C2175000,1,2017-08-18,2017-06-21,C,2175000.0,262.8,268.2,0.0,156.0,0.188288,0.946734,0.000601,95.91605,-47.53444,115666525.0,1.0,0,,
101,108105.0,2017-06-26,SPX 170818C2180000,1,2017-08-18,2017-06-16,C,2180000.0,257.9,263.3,0.0,6.0,0.186165,0.945171,0.000623,98.26021,-48.43484,115843575.0,1.0,0,,
102,108105.0,2017-06-26,SPX 170818C2185000,1,2017-08-18,2017-06-21,C,2185000.0,253.3,258.8,0.0,3.0,0.18741,0.940455,0.000662,105.2105,-53.55576,116206410.0,1.0,0,,
103,108105.0,2017-06-26,SPX 170818C2190000,1,2017-08-18,2017-06-20,C,2190000.0,248.3,253.7,0.0,0.0,0.183736,0.940136,0.000679,105.6732,-52.5668,115843576.0,1.0,0,,
104,108105.0,2017-06-26,SPX 170818C2195000,1,2017-08-18,2017-06-21,C,2195000.0,243.3,248.7,0.0,1.0,0.18054,0.939355,0.000698,106.8046,-52.17279,116206411.0,1.0,0,,
105,108105.0,2017-06-26,SPX 170818C2200000,1,2017-08-18,2017-06-26,C,2200000.0,238.6,243.9,1.0,125.0,0.179626,0.936287,0.00073,111.2021,-54.70351,115666526.0,1.0,0,,
106,108105.0,2017-06-26,SPX 170818C2205000,1,2017-08-18,,C,2205000.0,233.8,239.0,0.0,0.0,0.177728,0.934074,0.000759,114.3305,-56.00555,116206412.0,1.0,0,,
107,108105.0,2017-06-26,SPX 170818C2210000,1,2017-08-18,2017-06-22,C,2210000.0,228.8,234.0,0.0,2.0,0.174492,0.933159,0.000782,115.6126,-55.56857,115843577.0,1.0,0,,
108,108105.0,2017-06-26,SPX 170818C2215000,1,2017-08-18,,C,2215000.0,223.9,229.2,0.0,0.0,0.172528,0.930847,0.000813,118.8261,-56.81015,116206413.0,1.0,0,,
109,108105.0,2017-06-26,SPX 170818C2220000,1,2017-08-18,2017-06-09,C,2220000.0,219.2,224.4,0.0,20.0,0.17133,0.927582,0.000849,123.2978,-59.103,115843578.0,1.0,0,,
110,108105.0,2017-06-26,SPX 170818C2225000,1,2017-08-18,2017-06-16,C,2225000.0,214.3,219.4,0.0,3.0,0.168453,0.92606,0.000878,125.3581,-59.15956,115666527.0,1.0,0,,
111,108105.0,2017-06-26,SPX 170818C2230000,1,2017-08-18,2017-06-16,C,2230000.0,209.6,214.7,0.0,25.0,0.1675,0.922234,0.000919,130.4678,-61.85502,115843579.0,1.0,0,,
112,108105.0,2017-06-26,SPX 170818C2235000,1,2017-08-18,2017-06-21,C,2235000.0,204.6,209.7,0.0,1.0,0.164187,0.921036,0.000949,132.0476,-61.32789,116206414.0,1.0,0,,
113,108105.0,2017-06-26,SPX 170818C2240000,1,2017-08-18,2017-06-26,C,2240000.0,199.8,204.9,2.0,40.0,0.162353,0.917974,0.000989,136.0446,-62.85748,115843580.0,1.0,0,,
114,108105.0,2017-06-26,SPX 170818C2245000,1,2017-08-18,2017-06-12,C,2245000.0,195.2,200.2,0.0,10.0,0.161519,0.913505,0.001036,141.7742,-65.82566,116206415.0,1.0,0,,
115,108105.0,2017-06-26,SPX 170818C2250000,1,2017-08-18,2017-06-16,C,2250000.0,190.4,195.6,0.0,31.0,0.160212,0.909423,0.001082,146.9034,-68.17303,115666528.0,1.0,0,,
116,108105.0,2017-06-26,SPX 170818C2255000,1,2017-08-18,,C,2255000.0,185.5,190.4,0.0,0.0,0.156471,0.908349,0.001118,148.2364,-67.0555,116206416.0,1.0,0,,
